Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Mazier,  Dan",Riding Mountain,Conservative,104394.62,45781.46,1456.52,24954.94
"McCauley,  Kelly",Edmonton West,Conservative,98865.92,55957.22,1815.01,30606.12
"McDonald,  Ken",Avalon,Liberal,1213.84,0,0,35.73
"McGuinty, Hon. David",Ottawa South,Liberal,82564.62,2091.09,0,25127.34
"McKay, Hon. John",Scarborough—Guildwood,Liberal,7238.97,837,0,106.71
"McKelvie,  Jennifer",Ajax,Liberal,78191.6,9291.46,77.3,22196.27
"Mckenzie,  David",Calgary Signal Hill,Conservative,71352.11,36975.5,150.62,19477.68
"McKinnon,  Ron",Coquitlam—Port Coquitlam,Liberal,87433.09,42032.91,349.03,23331.83
"McKnight, Hon. Jill",Delta,Liberal,65086.57,41011.81,368.68,43220.7
"McLean,  Greg",Calgary Centre,Conservative,79757.49,23271.82,1208.75,28272.93
"McLean, Hon. Stephanie",Esquimalt—Saanich—Sooke,Liberal,78232.13,13095.89,302.19,19016.75
"McLeod,  Michael",Northwest Territories,Liberal,0,-389.29,0,325.49
"Melillo,  Eric",Kenora—Kiiwetinoong,Conservative,87902.3,28028.36,130.84,19007.24
"Ménard,  Marie-Gabrielle",Hochelaga—Rosemont-Est,Liberal,58991.73,10539.4,400.72,36714.6
"Mendès,  Alexandra",Brossard—Saint-Lambert,Liberal,85009.42,16462.11,4969.5,24170.79
"Mendicino, Hon. Marco",Eglinton—Lawrence,Liberal,0,0,0,603.45
"Menegakis,  Costas",Aurora—Oak Ridges—Richmond Hill,Conservative,69414.99,16816.65,167.56,26829.91
"Miao,  Wilson",Richmond Centre,Liberal,910,2007.6,0,167.35
"Michaud,  Kristina",Avignon—La Mitis—Matane—Matapédia,Bloc Québécois,5200.34,0,0,725.63
"Michel, Hon. Marjorie",Papineau,Liberal,64784.6,12653.1,1347.38,20487.02
"Miedema,  Shannon",Halifax,Liberal,65048.64,17275.46,85.96,13651.4
"Miller, Hon. Marc",Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal,89514.8,10414.09,0,3936.52
"Mingarelli,  Giovanna",Prescott—Russell—Cumberland,Liberal,82482.47,622.45,283.27,15219.66
"Moore, Hon. Rob",Fundy Royal,Conservative,88224.52,8471.03,25.95,23099.37
"Morantz,  Marty",Charleswood—St. James—Assiniboia—Headingley,Conservative,2308.22,939.38,0,512.31
"Morin,  Billy",Edmonton Northwest,Conservative,58408.11,14732.76,0,1924.5
"Morrice,  Mike",Kitchener Centre,Green Party,6957.97,42.33,0,234.04
"Morrison,  Rob",Columbia—Kootenay—Southern Rockies,Conservative,100371.33,10900.99,0,17873.04
"Morrissey,  Robert",Egmont,Liberal,93764.9,13439.71,0,9135.94
"Motz,  Glen",Medicine Hat—Cardston—Warner,Conservative,79402.3,31423.68,1712.32,17738.15
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,1849.95,0,0,-1937.28
"Muys,  Dan",Flamborough—Glanbrook—Brant North,Conservative,80557.17,14447,2480.87,57820.38
"Myles,  David",Fredericton—Oromocto,Liberal,71611.65,21323.97,69.65,26078.35
"Naqvi,  Yasir",Ottawa Centre,Liberal,90569.09,1965.79,1224.37,21981.09
"Nathan,  Juanita",Pickering—Brooklin,Liberal,46862.48,17802.92,1075.54,17103.22
"Ng, Hon. Mary",Markham—Thornhill,Liberal,2675.52,0,0,448.83
"Nguyen,  Chi",Spadina—Harbourfront,Liberal,85444.24,12821.2,1842.49,36778.47
"Noormohamed,  Taleeb",Vancouver Granville,Liberal,84003.35,44078.77,8787.18,29020.3
"Normandin,  Christine",Saint-Jean,Bloc Québécois,87312.11,12446.18,123.46,32555.95
"Ntumba,  Bienvenu-Olivier",Mont-Saint-Bruno—L'Acadie,Liberal,64899.39,21688.11,570.1,30708.04
"O'Connell,  Jennifer",Pickering—Uxbridge,Liberal,6356.68,0,0,4625.83
"O'Regan, Hon. Seamus",St. John's South—Mount Pearl,Liberal,2275.95,1207.1,0,106.38
"O'Rourke,  Dominique",Guelph,Liberal,73291.08,15501.74,719.45,14871.3
"O'Toole, Hon. Erin",Durham,Conservative,0,0,0,32
"Oliphant, Hon. Robert",Don Valley West,Liberal,97173.78,16546.7,2128.15,43955.61
"Olszewski, Hon. Eleanor",Edmonton Centre,Liberal,88165.86,30155.84,3400.16,27940.77
"Osborne,  Tom",Cape Spear,Liberal,89187.22,16833.67,465.34,20955.16
"Patzer,  Jeremy",Swift Current—Grasslands—Kindersley,Conservative,85804.4,31097.77,927.69,17940.34
"Paul-Hus,  Pierre",Charlesbourg—Haute-Saint-Charles,Conservative,63321.4,9259.85,559.99,33657.99
"Pauzé,  Monique",Repentigny,Bloc Québécois,0,0,0,12.84
"Perkins,  Rick",South Shore—St. Margarets,Conservative,5238.88,1060.38,0,248.85
"Perron,  Yves",Berthier—Maskinongé,Bloc Québécois,107130.82,10824.1,1980.68,46340.22
"Petitpas Taylor, Hon. Ginette",Moncton—Dieppe,Liberal,90521.03,21456.16,2026.98,24130.87
"Plamondon,  Louis",Bécancour—Nicolet—Saurel—Alnôbak,Bloc Québécois,70140.09,867.98,2710,47931.2
"Poilievre, Hon. Pierre",Battle River—Crowfoot,Conservative,9971.34,0,0,8218
"Powlowski,  Marcus",Thunder Bay—Rainy River,Liberal,80395.71,17216.18,114.21,22616.31
"Provost, Hon. Nathalie",Châteauguay—Les Jardins-de-Napierville,Liberal,75599.32,16978.59,149.11,25131.95
"Qualtrough, Hon. Carla",Delta,Liberal,4661.85,0,0,1645.83
"Ramsay,  Jacques",La Prairie—Atateken,Liberal,65673.87,16606.23,368.77,21861.66
"Rana,  Aslam",Hamilton Centre,Liberal,61903.43,17055.46,0,29930.38
"Rayes,  Alain",Richmond—Arthabaska,Independent,4611.49,711.06,0,2241.19
"Redekopp,  Brad",Saskatoon West,Conservative,80832.61,13644.21,559.67,28278.67
"Reid,  Scott",Lanark—Frontenac,Conservative,78810.02,0,0,27980.86
"Rempel Garner, Hon. Michelle",Calgary Nose Hill,Conservative,84022.03,21439.03,254.14,17632.3
"Reynolds,  Colin",Elmwood—Transcona,Conservative,49931.32,14823.33,1369.14,24561.94
"Richards,  Blake",Airdrie—Cochrane,Conservative,86869.47,12223.49,456.95,15328.8
"Roberts,  Anna",King—Vaughan,Conservative,74199.06,21685.08,98.22,36906.98
"Robertson, Hon. Gregor",Vancouver Fraserview—South Burnaby,Liberal,45930.21,20494.76,2744.25,21239.62
"Robillard,  Yves",Marc-Aurèle-Fortin,Liberal,19856.42,0,0,9.16
"Rochefort,  Pauline",Nipissing—Timiskaming,Liberal,108620.78,19427.33,835.16,29617.26
"Rogers,  Churence",Bonavista—Burin—Trinity,Liberal,6028.84,1639.62,0,107.3
"Romanado,  Sherry",Longueuil—Charles-LeMoyne,Liberal,66141.53,18594,780.65,21864.14
"Rood,  Lianne",Middlesex—London,Conservative,86010.69,39170.46,268.45,21988.6
"Ross,  Ellis",Skeena—Bulkley Valley,Conservative,45675.32,6260.21,473.35,27487.29
"Rota, Hon. Anthony",Nipissing—Timiskaming,Liberal,4345.91,0,0,151.83
"Rowe,  Jonathan",Terra Nova—The Peninsulas,Conservative,50930.69,20077.29,487.93,18986.67
"Royer,  Zoe",Port Moody—Coquitlam,Liberal,76254.77,26621.24,312.37,23941.17
"Ruff,  Alex",Bruce—Grey—Owen Sound,Conservative,75644.18,12147.41,1574.81,17543.62
"Sahota, Hon. Ruby",Brampton North—Caledon,Liberal,79712.38,7074.76,9078.72,38159.6
"Saini,  Gurbux",Fleetwood—Port Kells,Liberal,79019.31,13949.95,7952.62,21953.34
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,0,4623.68,0,9257.43
"Saks, Hon. Ya'ara",York Centre,Liberal,5663.52,0,0,15.24
"Samson,  Darrell",Sackville—Preston—Chezzetcook,Liberal,3443.53,708.6,0,422.25
"Sarai, Hon. Randeep",Surrey Centre,Liberal,67447.6,38879.57,6931.39,51806.57
"Sari,  Abdelhaq",Bourassa,Liberal,77716.86,11538.8,453.94,20350.36
"Savard-Tremblay,  Simon-Pierre",Saint-Hyacinthe—Bagot—Acton,Bloc Québécois,83448.33,12643.47,1031.86,30436
"Sawatzky,  Jake",New Westminster—Burnaby—Maillardville,Liberal,67138.34,1436.01,0,15756.1
"Scarpaleggia, Hon. Francis",Lac-Saint-Louis,Liberal,71672.98,4689.83,511.39,36039.27
"Scheer, Hon. Andrew",Regina—Qu'Appelle,Conservative,69609.17,32007.91,7133.95,17824.97
"Schiefke,  Peter",Vaudreuil,Liberal,100195.35,14552.93,505.41,32703.76
"Schmale,  Jamie",Haliburton—Kawartha Lakes,Conservative,114251.18,51143.04,6080,19168.63
"Seeback,  Kyle",Dufferin—Caledon,Conservative,86629.82,18642.82,1873.77,17186.81
"Serré,  Marc",Nickel Belt,Liberal,6131.74,0,0,1608.02
"Sgro, Hon. Judy A.",Humber River—Black Creek,Liberal,92098.6,11225.75,4470.78,17201.43
"Shanahan,  Brenda",Châteauguay—Lacolle,Liberal,13382.15,0,0,15.18
"Sheehan,  Terry",Sault Ste. Marie—Algoma,Liberal,57546.46,16424.25,316.19,21228.11
"Shields,  Martin",Bow River,Conservative,521.25,1426.15,0,103.34
"Shipley,  Doug",Barrie—Springwater—Oro-Medonte,Conservative,86246.58,20271.86,469.58,19599.64
"Sidhu, Hon. Maninder",Brampton East,Liberal,89265.62,10372.48,0,18493.56
"Sidhu,  Sonia",Brampton South,Liberal,93223.27,19113.32,64.37,31009.59
"Simard,  Mario",Jonquière,Bloc Québécois,80474.58,25205.57,2027.37,26890.4
"Sinclair-Desgagné,  Nathalie",Terrebonne,Bloc Québécois,3897.07,0,0,1183.62
"Small,  Clifford",Central Newfoundland,Conservative,83070.66,9473.45,0,27597.74
"Sodhi,  Amandeep",Brampton Centre,Liberal,30921.77,9425.94,0,17272.26
"Solomon, Hon. Evan",Toronto Centre,Liberal,71319.01,0,0,30356.3
"Sorbara,  Francesco",Vaughan—Woodbridge,Liberal,5316.47,0,0,1005.96
"Soroka,  Gerald",Yellowhead,Conservative,4752.64,0,0,1181.25
"Sousa,  Charles",Mississauga—Lakeshore,Liberal,88239.07,19558.01,124.95,34601.89
"St-Onge, Hon. Pascale",Brome—Missisquoi,Liberal,780.76,204.71,0,746.12
"St-Pierre,  Eric",Honoré-Mercier,Liberal,75108.54,5869.55,355.64,21398.45
"Ste-Marie,  Gabriel",Joliette—Manawan,Bloc Québécois,96719.55,4001.46,363.77,31670.72
"Steinley,  Warren",Regina—Lewvan,Conservative,61402.97,13557.77,615.73,26498.3
"Stevenson,  William",Yellowhead,Conservative,83199.15,9418.72,0,14211.87
"Stewart,  Don",Toronto—St. Paul's,Conservative,3393.79,1127.23,0,1591.52
"Stewart,  Jake",Miramichi—Grand Lake,Conservative,2960.62,0,0,180.9
"Strahl,  Mark",Chilliwack—Hope,Conservative,90275.77,12976.86,250.24,17841.68
"Strauss,  Matt",Kitchener South—Hespeler,Conservative,77801.19,18130.42,1253.33,22712.58
"Stubbs,  Shannon",Lakeland,Conservative,101030.39,16101.72,176.8,18053.24
"Sudds, Hon. Jenna",Kanata,Liberal,90368.21,6839.36,1869.59,38076.76
"Tassi, Hon. Filomena",Hamilton West—Ancaster—Dundas,Liberal,2183.28,0,0,1190.25
"Taylor Roy,  Leah",Aurora—Oak Ridges—Richmond Hill,Liberal,6279.01,0,0,3879.25
"Tesser Derksen,  Kristina",Milton East—Halton Hills South,Liberal,50854.08,14457.87,249.13,32398.19
"Thériault,  Luc",Montcalm,Bloc Québécois,77215.74,10752.36,2039.14,27246.35
"Therrien,  Alain",La Prairie,Bloc Québécois,5770.76,0,0,801.69
"Thomas,  Rachael",Lethbridge,Conservative,71983.76,42140.63,2688.81,22593.77
"Thompson, Hon. Joanne",St. John's East,Liberal,88059.69,13153.82,1716.83,31568.76
"Tochor,  Corey",Saskatoon—University,Conservative,67328.6,4293.83,3527.32,22205.5
"Tolmie,  Fraser",Moose Jaw—Lake Centre—Lanigan,Conservative,71778.35,22224.64,211.14,51703.36
"Trudeau, Right Hon. Justin",Papineau,Liberal,4085.69,0,0,832.18
"Trudel,  Denis",Longueuil—Saint-Hubert,Bloc Québécois,6893.32,0,0,811.76
"Turnbull,  Ryan",Whitby,Liberal,81197.93,38058.08,6952.74,19178.34
"Uppal, Hon. Tim",Edmonton Gateway,Conservative,113313.53,23774.28,3017.57,23899.32
"Valdez, Hon. Rechie",Mississauga—Streetsville,Liberal,98408.58,25773.47,1131.89,48275
"Van Bynen,  Tony",Newmarket—Aurora,Liberal,4958.79,0,0,140.54
"van Koeverden, Hon. Adam",Burlington North—Milton West,Liberal,93052.17,12130.49,126.72,14215.97
"Van Popta,  Tako",Langley Township—Fraser Heights,Conservative,95152.09,25237.37,0,28160.1
"Vandal, Hon. Dan",Saint Boniface—Saint Vital,Liberal,0,4555.66,0,543.82
"Vandenbeld,  Anita",Ottawa West—Nepean,Liberal,108225.86,4182.15,931.65,15941.69
"Vecchio,  Karen",Elgin—Middlesex—London,Conservative,7293.46,1759.37,174.92,104.34
"Vidal,  Gary",Desnethé—Missinippi—Churchill River,Conservative,0,0,0,603.4
"Vien,  Dominique",Bellechasse—Les Etchemins—Lévis,Conservative,69486.37,6214.9,298.97,28122.28
"Viersen,  Arnold",Peace River—Westlock,Conservative,117671.76,38236.03,1624.56,20108.73
"Vignola,  Julie",Beauport—Limoilou,Bloc Québécois,5242.37,0,0,759.64
"Villemure,  René",Trois-Rivières,Bloc Québécois,0,0,0,110.89
"Villeneuve,  Louis",Brome—Missisquoi,Liberal,92714.79,6494.68,215.87,26598.26
"Virani, Hon. Arif",Parkdale—High Park,Liberal,1567.99,0,0,78.24
"Vis,  Brad",Mission—Matsqui—Abbotsford,Conservative,84608.42,17841.07,998.07,22832.36
"Vuong,  Kevin",Spadina—Fort York,Independent,4664.74,0,0,15600.99
"Wagantall,  Cathay",Yorkton—Melville,Conservative,87684.07,26077.21,932.59,17106.26
"Warkentin,  Chris",Grande Prairie,Conservative,73345.4,28350.34,1819.88,25881.93
"Watchorn,  Tim",Les Pays-d'en-Haut,Liberal,73458.89,4255.91,413.15,42187.18
"Waugh,  Kevin",Saskatoon South,Conservative,77573.51,16231.67,282.24,31702.97
"Webber,  Len",Calgary Confederation,Conservative,0,0,0,96.53
"Weiler,  Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,92704.8,43073.4,1685.32,18568.98
"Wilkinson, Hon. Jonathan",North Vancouver—Capilano,Liberal,78628.03,19499.7,1173.51,34181.34
"Williams,  Ryan",Bay of Quinte,Conservative,3564.86,0,0,1754.24
"Williamson,  John",Saint John—St. Croix,Conservative,106050.8,10236.43,0,14699.94
"Yip,  Jean",Scarborough—Agincourt,Liberal,77829.5,8576.98,528.19,25196.87
"Zahid,  Salma",Scarborough Centre—Don Valley East,Liberal,96084.83,35417.98,6799.12,32246.23
"Zarrillo,  Bonita",Port Moody—Coquitlam,New Democratic Party,3809.99,0,0,813.69
"Zerucelli, Hon. John",Etobicoke North,Liberal,85968.45,22307.62,0,20767.3
"Zimmer,  Bob",Prince George—Peace River—Northern Rockies,Conservative,93011.63,58274.09,1855.41,42367.25
"Zuberi,  Sameer",Pierrefonds—Dollard,Liberal,95852.47,16807.25,5739.29,28537.64
